caption,facebook_id,link,media_url/0,media_url/1,media_url/2,media_url/3,media_url/4,page_ad_library/id,page_ad_library/is_business_page_active,page_id,page_name,playable_duration_in_ms,post_date,post_id,post_url,share_count,thumbnail,timestamp,top_level_url,total_comment_count,total_reactions/Angry,total_reactions/Care,total_reactions/Haha,total_reactions/Like,total_reactions/Love,total_reactions/Sad,total_reactions/Wow,user,user/__isActor,user/__isEntity,user/__typename,user/answer_agent_group_id,user/delegate_page/id,user/delegate_page/is_business_page_active,user/id,user/is_additional_profile_plus,user/live_video_for_comet_live_ring,user/name,user/profile_picture/height,user/profile_picture/scale,user/profile_picture/uri,user/profile_picture/width,user/profile_url,user/story_bucket/nodes/0/first_story_to_show,user/story_bucket/nodes/0/id,user/story_bucket/nodes/0/should_show_close_friend_badge,user/url,user/work_foreign_entity_info,user/work_info,video_thumbnail,video_url,video_view_count
ফেনী সদরের পাঁচগাছিয়া ইউনিয়নে ফ্রি-মেডিকেল ক্যাম্প আয়োজন করে বাংলাদেশ ইসলামী ছাত্রশিবির।  #Shibir,100064727409076,,,,,,,89225472750,False,100064727409076,Bangladesh Islami Chhatrashibir,,Fri Sep 06 2024 at 5:44,944450731055832,https://www.facebook.com/bangladeshislamichhatrashibir/posts/pfbid02Lm2xioZybLe9BCbeuLDoedByt9sr1uarp3LYsse5Mr5Yjn1QRS6YL8dQQV4W4nYml,11,,1725601440,https://www.facebook.com/100064727409076/posts/944450731055832,9,,11,,150,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
"আবু হুরায়রা (রা.) থেকে বর্ণিত, রাসুল (সা.) বলেন, ‘যে ব্যক্তি জুমার দিন গোসল করে প্রথম মসজিদে হাজির হয়, সে যেন একটি উট কোরবানি করল, দ্বিতীয় যে ব্যক্তি মসজিদে প্রবেশ করে, সে যেন একটি গরু কোরবানি করল, তৃতীয় যে ব্যক্তি মসজিদে প্রবেশ করল, সে যেন একটি ছাগল কোরবানি করল। অতঃপর চতুর্থ যে ব্যক্তি মসজিদে গেল, সে যেন একটি মুরগি সদকা করল। আর পঞ্চম যে ব্যক্তি মসজিদে প্রবেশ করল, সে যেন একটি ডিম সদকা করল। এরপর ইমাম যখন বেরিয়ে এসে মিম্বরে বসে গেলেন খুতবার জন্য, তখন ফেরেশতারা লেখা বন্ধ করে খুতবা শুনতে বসে যায়।’ (সহিহ বুখারি: ৮৮১)",100064727409076,,,,,,,89225472750,False,UzpfSTEwMDA2NDcyNzQwOTA3Njo5NDQ0MTQ5MTc3MjYwODA6OTQ0NDE0OTE3NzI2MDgw,Bangladesh Islami Chhatrashibir,,Fri Sep 06 2024 at 4:25,944414917726080,https://www.facebook.com/bangladeshislamichhatrashibir/posts/pfbid032UpbYr4dhy4VUSiWt9vZmQFSsGWgt2f3pDbk77egbU3F9DMuMfYKXsLkL28wBe6Zl,86,,1725596724,https://www.facebook.com/100064727409076/posts/944414917726080,52,,243,,1722,1252,,1.0,,User,User,User,,89225472750.0,False,100064727409076.0,True,,Bangladesh Islami Chhatrashibir,40.0,1.0,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/343482704_748221556847484_1261024833928795528_n.jpg?stp=cp0_dst-jpg_s40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=1PxS4TvX4IUQ7kNvgE87rmr&_nc_ht=scontent-ord5-1.xx&_nc_gid=ARfkQoMIpJbcEDJkYt_pf72&oh=00_AYBbWVredmW_sWxUb1LE6Xo2gyooHoYJOtevPuQRDz34hQ&oe=66E06481,40.0,https://www.facebook.com/bangladeshislamichhatrashibir,,103496781817902.0,False,https://www.facebook.com/bangladeshislamichhatrashibir,,,,,
কবিতা : আমি কে?কবিতা : তাহা বিন তৈয়বআবৃত্তি : আহসান হাবিব,100064727409076,,,,,,,89225472750,False,UzpfSTEwMDA2NDcyNzQwOTA3Njo5NDQwMjMyNzEwOTg1Nzg6OTQ0MDIzMjcxMDk4NTc4,Bangladesh Islami Chhatrashibir,180760.0,Thu Sep 05 2024 at 15:26,944023271098578,https://www.facebook.com/bangladeshislamichhatrashibir/videos/403969182735740/,230,,1725549991,https://www.facebook.com/100064727409076/posts/944023271098578,151,,227,1.0,1059,1219,,2.0,,User,User,User,,89225472750.0,False,100064727409076.0,True,,Bangladesh Islami Chhatrashibir,40.0,1.0,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/343482704_748221556847484_1261024833928795528_n.jpg?stp=cp0_dst-jpg_s40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=1PxS4TvX4IUQ7kNvgE87rmr&_nc_ht=scontent-ord5-1.xx&_nc_gid=ARfkQoMIpJbcEDJkYt_pf72&oh=00_AYBbWVredmW_sWxUb1LE6Xo2gyooHoYJOtevPuQRDz34hQ&oe=66E06481,40.0,https://www.facebook.com/bangladeshislamichhatrashibir,,103496781817902.0,False,https://www.facebook.com/bangladeshislamichhatrashibir,,,,https://www.facebook.com/bangladeshislamichhatrashibir/videos/%E0%A6%86%E0%A6%AE%E0%A6%BF-%E0%A6%95%E0%A7%87-%E0%A6%86%E0%A6%AC%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BF/934060457983708/,19449.0
"সদস্য, সাথী ও কর্মীদের অংশগ্রহণে দেশব্যাপী চলছে ইসলামী ছাত্রশিবিরের পাঠ মূল্যায়ন পরীক্ষা- ২০২৪ (২য় পর্ব)#Shibir",100064727409076,,,,,,,89225472750,False,100064727409076,Bangladesh Islami Chhatrashibir,,Thu Sep 05 2024 at 8:57,943791181121787,https://www.facebook.com/bangladeshislamichhatrashibir/posts/pfbid0bXTi9M6mJ7XbbG46T7QRsrqZKR43EWsjvA9zcCY1WeSpTXiuPxTCuzeF8nCWMLw6l,265,,1725526637,https://www.facebook.com/100064727409076/posts/943791181121787,276,,499,,4928,3319,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
"ফেনী ছাগলনাইয়া পৌরসভার রেজুমিয়া ব্রীজ এলাকায় সালাম কমিউনিটি সেন্টারে ফ্রি-মেডিকেল ক্যাম্প আয়োজন করে বাংলাদেশ ইসলামী ছাত্রশিবির। বন্যাকবলিত মানুষদের হাতে ও পায়ে ঘা, চুলকানি, দাদ, শিশুদের সর্দি ও কাশি, ফাংগাল ও স্কীন ইনফেকশন ইত্যাদি রোগ বর্তমানে বেশি দেখা যাচ্ছে বলে জানিয়েছেন ক্যাম্পের ডাক্তারবৃন্দ। উল্লেখ্য, আজ দিনব্যাপী এই ফ্রি-মেডিকেল ক্যাম্প কার্যক্রম চলবে। #Shibir",100064727409076,,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458337105_943747307792841_4474301503533099136_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=833d8c&_nc_ohc=qNblRCu_h9AQ7kNvgEhZBzv&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYDu5_sIQ5hIaUybZpWNQbg2gAQjx3p2bsswb1giNkaDAQ&oe=66E08991,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458196353_943747377792834_7473946224724561_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=ZR5urnIwE3QQ7kNvgFFysRl&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYAZTRqlePytF_PxswFey7MhtLqxK3KgtB-O-47l5NyRNA&oe=66E08A14,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458200713_943747407792831_7608663794981458067_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_ohc=WTv_HNfLzgoQ7kNvgHJHGHb&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYCeD-RHruSN04yolXSCGcBtFDPjT_cf7xSe8Yf7eNTimQ&oe=66E067F0,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458286563_943747441126161_7414320289645135905_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=833d8c&_nc_ohc=_3SuXMlDqfkQ7kNvgECqvB-&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYAwnGw3CJu-dVQdzSUfO2l8JTcsOE6K3LRKFaiwBihnSQ&oe=66E07DE4,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458260218_943747574459481_4814155561494180517_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=833d8c&_nc_ohc=1Cf0bA9brH8Q7kNvgGrpRas&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYA-q2VY2w3UbnEpzFToV6KY1xFV7qo_ZgQiyXi275LuKQ&oe=66E08065,89225472750,False,UzpfSTEwMDA2NDcyNzQwOTA3Njo5NDM3NDcyMTQ0NTk1MTc6OTQzNzQ3MjE0NDU5NTE3,Bangladesh Islami Chhatrashibir,,Thu Sep 05 2024 at 7:46,943747214459517,https://www.facebook.com/bangladeshislamichhatrashibir/posts/pfbid0mJ3ShZ2RqerEv9js7jUbQchnTmE4LkEh6STTw5oor164HKNQfTvniUon5e3GK6bel,65,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458337105_943747307792841_4474301503533099136_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=833d8c&_nc_ohc=qNblRCu_h9AQ7kNvgEhZBzv&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYDu5_sIQ5hIaUybZpWNQbg2gAQjx3p2bsswb1giNkaDAQ&oe=66E08991,1725522405,https://www.facebook.com/100064727409076/posts/943747214459517,41,,50,,867,508,1.0,,,User,User,User,,89225472750.0,False,100064727409076.0,True,,Bangladesh Islami Chhatrashibir,40.0,1.0,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-1/343482704_748221556847484_1261024833928795528_n.jpg?stp=cp0_dst-jpg_s40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=1PxS4TvX4IUQ7kNvgHfAhY-&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYCgkRRGgVYXmhIRv_EpuvMB3czfMNtXC4NVXXWEcComnA&oe=66E06481,40.0,https://www.facebook.com/bangladeshislamichhatrashibir,,103496781817902.0,False,https://www.facebook.com/bangladeshislamichhatrashibir,,,,,
ফেনী শহর শাখার মোটবী ইউনিয়নে ফ্রি মেডিক্যাল ক্যাম্পের আয়োজন করে ইসলামী ছাত্রশিবির ফেনী শহর শাখা।#Shibir,100064727409076,,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458366565_943705914463647_2297988167823639921_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=KMAp8PDURncQ7kNvgEXbrU1&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYA70-i00JpOZ2zzW2ygANC02pVmZ_7FSb4dzI-GpEgKpQ&oe=66E0790B,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458305596_943705967796975_2148999811906565350_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=833d8c&_nc_ohc=fCHrviytOFEQ7kNvgFHHchi&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYBhaDPN3dHNpr7fMu0qGLLVGAuNzxI06aCWmc1U-IP0kA&oe=66E062DC,,,,89225472750,False,UzpfSTEwMDA2NDcyNzQwOTA3Njo5NDM3MDU5MDExMzAzMTU6OTQzNzA1OTAxMTMwMzE1,Bangladesh Islami Chhatrashibir,,Thu Sep 05 2024 at 6:19,943705901130315,https://www.facebook.com/bangladeshislamichhatrashibir/posts/pfbid02n2xifyjhFqk6XA4nXrKioZXrJpHjoAdeh92HEAMgPxdbjpvEBzCBkxV5v5CiqEgbl,103,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-6/458366565_943705914463647_2297988167823639921_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=KMAp8PDURncQ7kNvgEXbrU1&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYA70-i00JpOZ2zzW2ygANC02pVmZ_7FSb4dzI-GpEgKpQ&oe=66E0790B,1725517159,https://www.facebook.com/100064727409076/posts/943705901130315,70,,130,,1392,906,,1.0,,User,User,User,,89225472750.0,False,100064727409076.0,True,,Bangladesh Islami Chhatrashibir,40.0,1.0,https://scontent.fmqy1-1.fna.fbcdn.net/v/t39.30808-1/343482704_748221556847484_1261024833928795528_n.jpg?stp=cp0_dst-jpg_s40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=1PxS4TvX4IUQ7kNvgHfAhY-&_nc_ht=scontent.fmqy1-1.fna&oh=00_AYCgkRRGgVYXmhIRv_EpuvMB3czfMNtXC4NVXXWEcComnA&oe=66E06481,40.0,https://www.facebook.com/bangladeshislamichhatrashibir,,103496781817902.0,False,https://www.facebook.com/bangladeshislamichhatrashibir,,,,,
"সংগঠন নিয়ে সংগীত""আমাদের শিবির""কথা : মুহাম্মদ আবু সুফিয়ানসুর : ডি. এম. আসহাব উদ্দিন শিল্পী :ডি.এম. আসহাব উদ্দিন হাফেজ ওয়াহিদুল ইসলাম সাঈদ মুহাম্মদ মাহফুজ প্রযোজনায় : বাংলাদেশ ইসলামী ছাত্রশিবির, চট্টগ্রাম জেলা দক্ষিণ।",100064727409076,,,,,,,89225472750,False,100064727409076,Bangladesh Islami Chhatrashibir,,Thu Sep 05 2024 at 0:29,943519657815606,https://www.facebook.com/bangladeshislamichhatrashibir/videos/1584482615825214/,309,,1725496157,https://www.facebook.com/100064727409076/posts/943519657815606,169,,457,,2094,2608,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,https://scontent-mia3-2.xx.fbcdn.net/v/t15.5256-10/274005014_1740227499650647_7227185768950871818_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-7&_nc_sid=7965db&_nc_ohc=QWOnf4a1U6QQ7kNvgEbGjkY&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYAETNIwYr5K9yIX9tPMX5VdOK7MqKMimEqlIOh8xotFxw&oe=66E0754D,,222836.0
"বাংলাদেশ ইসলামী ছাত্রশিবির ঢাকা মহানগর দক্ষিণ শাখার 'সাথী সমাবেশ-২০২৪' অনুষ্ঠিতআজ বুধবার (৪ সেপ্টেম্বর) সাথী সমাবেশে প্রধান অতিথির বক্তব্য রাখেন বাংলাদেশ জামায়াতে ইসলামী ঢাকা মহানগরী দক্ষিণের আমীর ও ছাত্রশিবিরের সাবেক কেন্দ্রীয় সভাপতি নুরুল ইসলাম বুলবুল এবং প্রধান বক্তার বক্তব্য রাখেন ছাত্রশিবিরের সেক্রেটারী জেনারেল জাহিদুল ইসলাম।মহানগর সভাপতি আলাউদ্দিন আবিরের সভাপতিত্বে এবং সেক্রেটারি হেলাল উদ্দিনের সঞ্চালনায় বিশেষ অতিথি হিসেবে উপস্থিত ছিলেন ছাত্রশিবিরের সাবেক কেন্দ্রীয় সভাপতি ড.শফিকুল ইসলাম মাসুদ, ছাত্রশিবিরের কেন্দ্রীয় সাহিত্য সম্পাদক সিবগাতুল্লাহ, ছাত্রশিবির ঢাকা মহানগর দক্ষিণ শাখার সাবেক সভাপতিবৃন্দ।",100064727409076,,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458184119_943308557836716_6192966701457590595_n.jpg?stp=dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=4Whqv9AklQgQ7kNvgHsWXwy&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYCZUKJ4Hpzg1I1xnienmiUQOA-rBVbXmV7GCgiQUzUoww&oe=66E06F5F,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458196241_943308494503389_156307583574077107_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=epWqLMBq9J0Q7kNvgFe3VeG&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYAvVy9a9dAwzoNvRV6EygDkYFtBXXSS1gm-eqSxDC8nfg&oe=66E08547,https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-6/458557269_943312594502979_789202421134144060_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=I-Sg5PKA8d8Q7kNvgFiIWt6&_nc_ht=scontent-mia3-1.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYAcHPyf-Ars5OU68WWqulbFJWALgMpgtDqDyg5k8YmYGw&oe=66E065D6,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458096850_943312651169640_8932263528207476261_n.jpg?stp=dst-jpg_s851x315&_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=bZDQPoesqxgQ7kNvgFmq1O9&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYDf11ol3W-5K_pqGmelBzodIxcLzN_zephcqpRZBS070A&oe=66E06B62,,89225472750,False,UzpfSTEwMDA2NDcyNzQwOTA3Njo5NDMzMDYyMjc4MzY5NDk6OTQzMzA2MjI3ODM2OTQ5,Bangladesh Islami Chhatrashibir,,Wed Sep 04 2024 at 16:57,943306227836949,https://www.facebook.com/bangladeshislamichhatrashibir/posts/pfbid0ZLfii3rRThNPrTkmT4RNaDmDyzgT2Q3wHvtidNj9fhyEQrpQvuBcRQ3KvjPxjDBUl,312,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458184119_943308557836716_6192966701457590595_n.jpg?stp=dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=4Whqv9AklQgQ7kNvgHsWXwy&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYCZUKJ4Hpzg1I1xnienmiUQOA-rBVbXmV7GCgiQUzUoww&oe=66E06F5F,1725469066,https://www.facebook.com/100064727409076/posts/943306227836949,671,,799,1.0,7900,5982,3.0,4.0,,User,User,User,,89225472750.0,False,100064727409076.0,True,,Bangladesh Islami Chhatrashibir,40.0,1.0,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-1/343482704_748221556847484_1261024833928795528_n.jpg?stp=cp0_dst-jpg_s40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=1PxS4TvX4IUQ7kNvgH1z_XT&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYD3cV-MnHOuU0JZu-qDN7V0ecP5hOpPMn1yRK7dGNUAiw&oe=66E06481,40.0,https://www.facebook.com/bangladeshislamichhatrashibir,,103496781817902.0,False,https://www.facebook.com/bangladeshislamichhatrashibir,,,,,
"ছাত্রশিবির চট্টগ্রাম মহানগর উত্তর শাখার 'সাথী সমাবেশ' অনুষ্ঠিতআজ বুধবার (৪ সেপ্টেম্বর) চট্টগ্রাম নগরীর বহাদ্দারহাট আর বি কনভেনশন সেন্টারে অনুষ্ঠিত সাথী সমাবেশে প্রধান অতিথির বক্তব্য রাখেন বাংলাদেশ ইসলামী ছাত্রশিবিরের কেন্দ্রীয় সভাপতি মঞ্জুরুল ইসলাম।মহানগর সভাপতি ফখরুল ইসলামের সভাপতিত্বে এবং সেক্রেটারি তানজির হোসেন জুয়েলের সঞ্চালনায় সাথী সমাবেশে প্রধান বক্তার বক্তব্য রাখেন বাংলাদেশ জামায়াতে ইসলামী চট্টগ্রাম মহানগরীর আমীর ও সাবেক এমপি আলহাজ্ব শাহজাহান চৌধুরী। বিশেষ অতিথি হিসেবে উপস্থিত ছিলেন ছাত্রশিবিরের কেন্দ্রীয় প্রচার সম্পাদক ডা. সাদেক আব্দুল্লাহ, প্ল্যানিং এন্ড ডেভেলপমেন্ট সম্পাদক ডা. উসামাহ রাইয়ান, ছাত্র আন্দোলন সম্পাদক আমিরুল ইসলাম।",100064727409076,,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458107805_943222854511953_7467063133635487062_n.jpg?stp=dst-jpg_p526x395&_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=Lxr-r3wjlLAQ7kNvgFmHHGz&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYAdqvIGfV7YRuvRp3jC_17_alPgBFe0Gqu1nYmLLK0bPA&oe=66E06A41,https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-6/458279638_943222987845273_565552496737633056_n.jpg?stp=dst-jpg_p526x395&_nc_cat=108&ccb=1-7&_nc_sid=833d8c&_nc_ohc=xWXZFmKaIYgQ7kNvgH3XGQg&_nc_ht=scontent-mia3-1.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYBEZ4623sNVsFYAPD9OiygfAxK4dtwzNYfAq04hqU4Z-Q&oe=66E07C48,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458292069_943223034511935_4569183624122742051_n.jpg?stp=dst-jpg_p526x395&_nc_cat=103&ccb=1-7&_nc_sid=833d8c&_nc_ohc=xrPnq4PbI1sQ7kNvgF3KiLh&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYB9p_bZSaOCDxivBKzipB6oVcIspkW4vM-pLTqHAR4zUQ&oe=66E08924,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458145482_943223267845245_3905120386452707638_n.jpg?stp=dst-jpg_p526x395&_nc_cat=105&ccb=1-7&_nc_sid=833d8c&_nc_ohc=O93g6Tg8xowQ7kNvgGcmVgo&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYBZvQlFqqkyH3Vy0OvayHpuF6O6udGRLbaWOsgbliSZJQ&oe=66E09622,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458243482_943223411178564_7468504623016924218_n.jpg?stp=dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=833d8c&_nc_ohc=jQ2nZH7294EQ7kNvgHJEjOY&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYCQugqR2dzgoQWrNbvTQq81OgtkAd56s2pD5W35erLsTQ&oe=66E07AAF,89225472750,False,UzpfSTEwMDA2NDcyNzQwOTA3Njo5NDMyMjI4MDc4NDUyOTE6OTQzMjIyODA3ODQ1Mjkx,Bangladesh Islami Chhatrashibir,,Wed Sep 04 2024 at 14:55,943222807845291,https://www.facebook.com/bangladeshislamichhatrashibir/posts/pfbid024bnx4Go2V7EziAcJGoWumRqWXDhTf2SXgWz5g9usMBFwpeys4WVQ8eXb1BW3HXaml,94,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/458107805_943222854511953_7467063133635487062_n.jpg?stp=dst-jpg_p526x395&_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=Lxr-r3wjlLAQ7kNvgFmHHGz&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYAdqvIGfV7YRuvRp3jC_17_alPgBFe0Gqu1nYmLLK0bPA&oe=66E06A41,1725461710,https://www.facebook.com/100064727409076/posts/943222807845291,180,,274,,1579,1646,,2.0,,User,User,User,,89225472750.0,False,100064727409076.0,True,,Bangladesh Islami Chhatrashibir,40.0,1.0,https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-1/343482704_748221556847484_1261024833928795528_n.jpg?stp=cp0_dst-jpg_s40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=1PxS4TvX4IUQ7kNvgH1z_XT&_nc_ht=scontent-mia3-2.xx&_nc_gid=AWFEkvJsHVKoYr6cDCZqQhm&oh=00_AYD3cV-MnHOuU0JZu-qDN7V0ecP5hOpPMn1yRK7dGNUAiw&oe=66E06481,40.0,https://www.facebook.com/bangladeshislamichhatrashibir,,103496781817902.0,False,https://www.facebook.com/bangladeshislamichhatrashibir,,,,,
"ছাত্রশিবির চট্টগ্রাম মহানগর দক্ষিণ শাখার 'কর্মী সম্মেলন-২০২৪' অনুষ্ঠিতআজ বুধবার (৪ সেপ্টেম্বর) চট্টগ্রাম নগরীর ইঞ্জিনিয়ার্স ইনস্টিটিউশনে অনুষ্ঠিত কর্মী সম্মেলনে প্রধান অতিথির বক্তব্য রাখেন বাংলাদেশ ইসলামী ছাত্রশিবিরের কেন্দ্রীয় সভাপতি মঞ্জুরুল ইসলাম।মহানগর সভাপতি শহিদুল ইসলামের সভাপতিত্বে এবং সেক্রেটারি ইলিয়াছ শাহরিয়ার সঞ্চালনায় কর্মী সম্মেলনে প্রধান বক্তা হিসেবে বক্তব্য রাখেন বাংলাদেশ ইসলামী ছাত্রশিবিরের সাবেক কেন্দ্রীয় সভাপতি রাজিবুর রহমান, বিশেষ অতিথি হিসেবে উপস্থিত ছিলেন বাংলাদেশ জামায়াতে ইসলামী চট্টগ্রাম মহানগরীর আমীর ও সাবেক এমপি শাহজাহান চৌধুরী। বিশেষ অতিথি হিসেবে আরও উপস্থিত ছিলেন ছাত্রশিবিরের কেন্দ্রীয় প্রচার সম্পাদক ডা. সাদেক আব্দুল্লাহ, প্ল্যানিং এন্ড ডেভেলপমেন্ট সম্পাদক ডা. উসামাহ রাইয়ান, ছাত্র আন্দোলন সম্পাদক আমিরুল ইসলাম ও মহানগরের সাবেক সভাপতিবৃন্দ।",100064727409076,,,,,,,89225472750,False,100064727409076,Bangladesh Islami Chhatrashibir,,Wed Sep 04 2024 at 13:21,943154364518802,https://www.facebook.com/bangladeshislamichhatrashibir/posts/pfbid02eTHJwGp9UmjtUZPq83YjBmdWi8K3QkGyrWgYZvTuYyFujVSHnRTfBmGpVAMYKjTxl,188,,1725456109,https://www.facebook.com/100064727409076/posts/943154364518802,342,,551,2.0,3358,3420,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
